ImageNumber	ObjectNumber	Metadata_Cortex_region	Metadata_Cortex_region	Metadata_FileLocation	Metadata_Frame	Metadata_Iteration	Metadata_Layer	Metadata_Layer	Metadata_Pt_type	Metadata_Pt_type	Metadata_Sample_number	Metadata_Sample_number	Metadata_Series	FileName_Microglia_impression_for_MoBIE	FileName_Pre_IBA1	FileName_ROI_Mask	FileName_ROI_MaskForMobie	PathName_Microglia_impression_for_MoBIE	PathName_Pre_IBA1	PathName_ROI_Mask	PathName_ROI_MaskForMobie	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_Microglia_total
1	11	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1240.3617424242425	591.1717171717172	11	11
1	12	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	876.452922077922	575.2573051948052	12	12
1	13	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	705.4444444444445	616.8097062579822	13	13
1	14	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1407.5272255834054	635.9109766637856	14	14
1	15	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	583.1175898931001	636.2342079689018	15	15
1	16	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	780.0466858789625	643.7146974063401	16	16
1	17	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	621.8326933625891	707.184311574328	17	17
1	18	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1357.1753670473083	719.4339314845024	18	18
1	19	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	744.9618644067797	786.3050847457627	19	19
1	20	FC	FC	nan	0	1	1	1	AD	AD	11	11	0	iba1-AD11FCL1.1-normalized_total_label.tiff	iba1-AD11FCL1.1-normalized.tif	mask-AD11FCL1.1.tif	mask-AD11FCL1.1.tiff	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks	D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia	1093.4910233393177	807.5305206463196	20	20
