ImageNumber,ObjectNumber,Metadata_Cortex_region,Metadata_Cortex_region,Metadata_FileLocation,Metadata_Frame,Metadata_Iteration,Metadata_Layer,Metadata_Layer,Metadata_Pt_type,Metadata_Pt_type,Metadata_Sample_number,Metadata_Sample_number,Metadata_Series,FileName_Microglia_impression_for_MoBIE,FileName_Pre_IBA1,FileName_ROI_Mask,FileName_ROI_MaskForMobie,PathName_Microglia_impression_for_MoBIE,PathName_Pre_IBA1,PathName_ROI_Mask,PathName_ROI_MaskForMobie,Children_Filtered_Microglia_Soma_Count,Children_Microglia_total_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,11,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1397.3105263157895,521.7657894736842,0,11
1,12,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1240.3215169002474,595.9826875515251,0,12
1,13,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,849.7717647058823,593.1435294117647,0,13
1,14,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,701.8564437194127,615.163132137031,0,14
1,15,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1405.0121212121212,636.5442424242424,0,15
1,16,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,579.5582468281431,640.2099192618224,0,16
1,17,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,778.2943722943722,649.3777056277056,0,17
1,18,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,616.4818731117825,707.8376132930514,0,18
1,19,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,1354.9647194910353,715.6275303643724,0,19
1,20,FC,FC,nan,0,1,1,1,AD,AD,11,11,0,iba1-AD11FCL1.1-normalized_total_label.tiff,iba1-AD11FCL1.1-normalized.tif,mask-AD11FCL1.1.tif,mask-AD11FCL1.1.tiff,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\ROI Masks,D:\GeoMx Images\GeoMx DIArun1\IBA1 only\Original Images\Normalized Microglia,1,1,744.9163090128756,786.1158798283262,0,20
